,State,County,cluster
0,Alabama,Baldwin,0
1,Alabama,Clay,0
2,Alabama,Colbert,0
3,Alabama,Cullman,0
4,Alabama,DeKalb,0
5,Alabama,Elmore,0
6,Alabama,Etowah,1
7,Alabama,Geneva,0
8,Alabama,Houston,0
9,Alabama,Jefferson,3
10,Alabama,Lawrence,3
11,Alabama,Madison,0
12,Alabama,Mobile,0
13,Alabama,Montgomery,3
14,Alabama,Morgan,1
15,Alabama,Russell,1
16,Alabama,Shelby,0
17,Alabama,Sumter,0
18,Alabama,Talladega,0
19,Alabama,Tuscaloosa,1
20,Alaska,Anchorage ,2
21,Alaska,Denali ,0
22,Alaska,Fairbanks North Star ,3
23,Alaska,Juneau ,2
24,Alaska,Kenai Peninsula ,2
25,Alaska,Matanuska-Susitna ,1
26,Alaska,Sitka ,2
27,Arizona,Apache,2
28,Arizona,Cochise,0
29,Arizona,Coconino,0
30,Arizona,Gila,3
31,Arizona,Greenlee,0
32,Arizona,La Paz,0
33,Arizona,Maricopa,3
34,Arizona,Mohave,2
35,Arizona,Navajo,0
36,Arizona,Pima,3
37,Arizona,Pinal,3
38,Arizona,Santa Cruz,1
39,Arizona,Yavapai,0
40,Arizona,Yuma,3
41,Arkansas,Clark,0
42,Arkansas,Crittenden,0
43,Arkansas,Montgomery,0
44,Arkansas,Newton,0
45,Arkansas,Polk,0
46,Arkansas,Pulaski,3
47,Arkansas,Union,1
48,Arkansas,Washington,0
49,California,Alameda,3
50,California,Amador,0
51,California,Butte,3
52,California,Calaveras,3
53,California,Colusa,3
54,California,Contra Costa,3
55,California,Del Norte,1
56,California,El Dorado,3
57,California,Fresno,3
58,California,Glenn,0
59,California,Humboldt,0
60,California,Imperial,3
61,California,Inyo,3
62,California,Kern,3
63,California,Kings,3
64,California,Lake,0
65,California,Los Angeles,3
66,California,Madera,3
67,California,Marin,1
68,California,Mariposa,3
69,California,Mendocino,0
70,California,Merced,3
71,California,Mono,3
72,California,Monterey,0
73,California,Napa,0
74,California,Nevada,3
75,California,Orange,3
76,California,Placer,3
77,California,Plumas,3
78,California,Riverside,3
79,California,Sacramento,3
80,California,San Benito,0
81,California,San Bernardino,3
82,California,San Diego,3
83,California,San Francisco,1
84,California,San Joaquin,3
85,California,San Luis Obispo,3
86,California,San Mateo,0
87,California,Santa Barbara,3
88,California,Santa Clara,3
89,California,Santa Cruz,0
90,California,Shasta,0
91,California,Siskiyou,0
92,California,Solano,0
93,California,Sonoma,0
94,California,Stanislaus,3
95,California,Sutter,3
96,California,Tehama,0
97,California,Trinity,1
98,California,Tulare,3
99,California,Tuolumne,0
100,California,Ventura,3
101,California,Yolo,0
102,Colorado,Adams,3
103,Colorado,Alamosa,2
104,Colorado,Arapahoe,0
105,Colorado,Archuleta,2
106,Colorado,Boulder,0
107,Colorado,Clear Creek,0
108,Colorado,Delta,2
109,Colorado,Denver,3
110,Colorado,Douglas,0
111,Colorado,El Paso,0
112,Colorado,Fremont,2
113,Colorado,Garfield,0
114,Colorado,Gilpin,0
115,Colorado,Gunnison,0
116,Colorado,Jackson,0
117,Colorado,Jefferson,0
118,Colorado,La Plata,0
119,Colorado,Larimer,0
120,Colorado,Mesa,0
121,Colorado,Moffat,0
122,Colorado,Montezuma,0
123,Colorado,Montrose,0
124,Colorado,Park,0
125,Colorado,Pitkin,2
126,Colorado,Prowers,2
127,Colorado,Pueblo,2
128,Colorado,Rio Blanco,0
129,Colorado,Routt,2
130,Colorado,San Miguel,2
131,Colorado,Summit,2
132,Colorado,Teller,2
133,Colorado,Weld,0
134,Connecticut,Fairfield,3
135,Connecticut,Hartford,3
136,Connecticut,Litchfield,0
137,Connecticut,Middlesex,3
138,Connecticut,New Haven,3
139,Connecticut,New London,3
140,Connecticut,Tolland,3
141,Connecticut,Windham,0
142,Delaware,Kent,3
143,Delaware,New Castle,3
144,Delaware,Sussex,3
145,District Of Columbia,District of Columbia,3
146,Florida,Alachua,1
147,Florida,Baker,0
148,Florida,Bay,1
149,Florida,Brevard,0
150,Florida,Broward,1
151,Florida,Citrus,1
152,Florida,Collier,1
153,Florida,Columbia,1
154,Florida,Duval,3
155,Florida,Escambia,3
156,Florida,Flagler,0
157,Florida,Hamilton,1
158,Florida,Highlands,0
159,Florida,Hillsborough,3
160,Florida,Holmes,1
161,Florida,Indian River,0
162,Florida,Lake,0
163,Florida,Lee,0
164,Florida,Leon,1
165,Florida,Liberty,0
166,Florida,Manatee,0
167,Florida,Marion,1
168,Florida,Martin,1
169,Florida,Miami-Dade,3
170,Florida,Nassau,1
171,Florida,Okaloosa,0
172,Florida,Orange,0
173,Florida,Osceola,0
174,Florida,Palm Beach,0
175,Florida,Pasco,0
176,Florida,Pinellas,3
177,Florida,Polk,0
178,Florida,Putnam,2
179,Florida,Santa Rosa,1
180,Florida,Sarasota,1
181,Florida,Seminole,0
182,Florida,St. Johns,0
183,Florida,St. Lucie,0
184,Florida,Volusia,0
185,Florida,Wakulla,0
186,Georgia,Bibb,1
187,Georgia,Chatham,1
188,Georgia,Chattooga,0
189,Georgia,Cherokee,0
190,Georgia,Clarke,1
191,Georgia,Cobb,1
192,Georgia,Columbia,0
193,Georgia,Coweta,1
194,Georgia,Dawson,0
195,Georgia,DeKalb,3
196,Georgia,Dougherty,1
197,Georgia,Douglas,0
198,Georgia,Fannin,0
199,Georgia,Fayette,3
200,Georgia,Floyd,1
201,Georgia,Fulton,3
202,Georgia,Glynn,0
203,Georgia,Gwinnett,3
204,Georgia,Hall,1
205,Georgia,Henry,1
206,Georgia,Houston,1
207,Georgia,Lowndes,1
208,Georgia,McIntosh,0
209,Georgia,Murray,0
210,Georgia,Muscogee,3
211,Georgia,Paulding,3
212,Georgia,Pike,0
213,Georgia,Richmond,3
214,Georgia,Rockdale,3
215,Georgia,Sumter,0
216,Georgia,Walker,1
217,Georgia,Walton,1
218,Georgia,Washington,1
219,Hawaii,Hawaii,1
220,Hawaii,Honolulu,0
221,Hawaii,Kauai,2
222,Hawaii,Maui,2
223,Idaho,Ada,3
224,Idaho,Bannock,1
225,Idaho,Benewah,1
226,Idaho,Blaine,1
227,Idaho,Boise,1
228,Idaho,Bonner,2
229,Idaho,Bonneville,1
230,Idaho,Butte,0
231,Idaho,Canyon,1
232,Idaho,Elmore,0
233,Idaho,Franklin,1
234,Idaho,Idaho,1
235,Idaho,Jerome,1
236,Idaho,Kootenai,1
237,Idaho,Latah,1
238,Idaho,Lemhi,1
239,Idaho,Nez Perce,1
240,Idaho,Power,3
241,Idaho,Shoshone,1
242,Idaho,Twin Falls,1
243,Idaho,Valley,1
244,Illinois,Adams,0
245,Illinois,Champaign,0
246,Illinois,Clark,0
247,Illinois,Cook,3
248,Illinois,DuPage,0
249,Illinois,Effingham,0
250,Illinois,Hamilton,0
251,Illinois,Jersey,0
252,Illinois,Jo Daviess,0
253,Illinois,Kane,0
254,Illinois,Kankakee,0
255,Illinois,La Salle,2
256,Illinois,Lake,0
257,Illinois,Livingston,0
258,Illinois,Logan,0
259,Illinois,Macon,0
260,Illinois,Macoupin,0
261,Illinois,Madison,3
262,Illinois,McHenry,0
263,Illinois,McLean,0
264,Illinois,Monroe,0
265,Illinois,Peoria,0
266,Illinois,Randolph,0
267,Illinois,Rock Island,0
268,Illinois,Saint Clair,3
269,Illinois,Sangamon,0
270,Illinois,Will,0
271,Illinois,Williamson,0
272,Illinois,Winnebago,0
273,Indiana,Allen,3
274,Indiana,Bartholomew,1
275,Indiana,Boone,0
276,Indiana,Brown,0
277,Indiana,Carroll,0
278,Indiana,Clark,3
279,Indiana,DeKalb,2
280,Indiana,Delaware,0
281,Indiana,Dubois,1
282,Indiana,Elkhart,1
283,Indiana,Floyd,3
284,Indiana,Gibson,0
285,Indiana,Greene,0
286,Indiana,Hamilton,1
287,Indiana,Hancock,3
288,Indiana,Hendricks,0
289,Indiana,Henry,1
290,Indiana,Howard,1
291,Indiana,Huntington,0
292,Indiana,Jackson,0
293,Indiana,Jasper,2
294,Indiana,Jefferson,2
295,Indiana,Knox,0
296,Indiana,LaPorte,0
297,Indiana,Lake,3
298,Indiana,Madison,3
299,Indiana,Marion,3
300,Indiana,Monroe,1
301,Indiana,Morgan,0
302,Indiana,Perry,0
303,Indiana,Porter,3
304,Indiana,Posey,0
305,Indiana,Shelby,0
306,Indiana,Spencer,2
307,Indiana,St. Joseph,3
308,Indiana,Sullivan,2
309,Indiana,Tippecanoe,1
310,Indiana,Vanderburgh,3
311,Indiana,Vigo,3
312,Indiana,Wabash,0
313,Indiana,Warrick,0
314,Indiana,Wayne,2
315,Indiana,Whitley,1
316,Iowa,Black Hawk,1
317,Iowa,Bremer,0
318,Iowa,Cerro Gordo,2
319,Iowa,Clinton,1
320,Iowa,Dubuque,2
321,Iowa,Harrison,0
322,Iowa,Johnson,1
323,Iowa,Linn,1
324,Iowa,Madison,0
325,Iowa,Montgomery,1
326,Iowa,Muscatine,1
327,Iowa,Palo Alto,1
328,Iowa,Polk,1
329,Iowa,Pottawattamie,2
330,Iowa,Scott,3
331,Iowa,Story,0
332,Iowa,Van Buren,1
333,Iowa,Warren,0
334,Iowa,Woodbury,0
335,Kansas,Douglas,0
336,Kansas,Ford,2
337,Kansas,Jefferson,0
338,Kansas,Johnson,0
339,Kansas,Leavenworth,0
340,Kansas,Linn,0
341,Kansas,Montgomery,2
342,Kansas,Neosho,0
343,Kansas,Riley,0
344,Kansas,Sedgwick,0
345,Kansas,Shawnee,0
346,Kansas,Sherman,2
347,Kansas,Sumner,0
348,Kansas,Trego,0
349,Kansas,Wyandotte,3
350,Kentucky,Bell,0
351,Kentucky,Boone,0
352,Kentucky,Boyd,3
353,Kentucky,Bullitt,0
354,Kentucky,Campbell,3
355,Kentucky,Carter,0
356,Kentucky,Christian,0
357,Kentucky,Daviess,3
358,Kentucky,Edmonson,0
359,Kentucky,Fayette,3
360,Kentucky,Graves,0
361,Kentucky,Greenup,0
362,Kentucky,Hancock,0
363,Kentucky,Hardin,1
364,Kentucky,Henderson,3
365,Kentucky,Jefferson,3
366,Kentucky,Jessamine,0
367,Kentucky,Kenton,3
368,Kentucky,Lawrence,0
369,Kentucky,Livingston,0
370,Kentucky,McCracken,3
371,Kentucky,McLean,0
372,Kentucky,Morgan,0
373,Kentucky,Muhlenberg,0
374,Kentucky,Ohio,1
375,Kentucky,Oldham,0
376,Kentucky,Perry,0
377,Kentucky,Pike,1
378,Kentucky,Pulaski,0
379,Kentucky,Scott,0
380,Kentucky,Simpson,0
381,Kentucky,Trigg,0
382,Kentucky,Trimble,2
383,Kentucky,Warren,1
384,Kentucky,Washington,0
385,Louisiana,Ascension,0
386,Louisiana,Beauregard,0
387,Louisiana,Bossier,0
388,Louisiana,Caddo,0
389,Louisiana,Calcasieu,3
390,Louisiana,East Baton Rouge,3
391,Louisiana,Grant,0
392,Louisiana,Iberville,0
393,Louisiana,Jefferson,3
394,Louisiana,Lafayette,0
395,Louisiana,Lafourche,0
396,Louisiana,Livingston,1
397,Louisiana,Orleans,1
398,Louisiana,Ouachita,0
399,Louisiana,Pointe Coupee,0
400,Louisiana,Rapides,1
401,Louisiana,St. Bernard,0
402,Louisiana,St. Charles,0
403,Louisiana,St. James,0
404,Louisiana,St. John the Baptist,0
405,Louisiana,St. Martin,0
406,Louisiana,St. Mary,0
407,Louisiana,St. Tammany,1
408,Louisiana,West Baton Rouge,3
409,Maine,Androscoggin,1
410,Maine,Aroostook,0
411,Maine,Cumberland,0
412,Maine,Franklin,2
413,Maine,Hancock,0
414,Maine,Kennebec,0
415,Maine,Knox,0
416,Maine,Oxford,0
417,Maine,Penobscot,0
418,Maine,Piscataquis,0
419,Maine,Sagadahoc,0
420,Maine,Somerset,0
421,Maine,Washington,0
422,Maine,York,0
423,Maryland,Allegany,0
424,Maryland,Anne Arundel,3
425,Maryland,Baltimore,3
426,Maryland,Baltimore (City),3
427,Maryland,Calvert,0
428,Maryland,Carroll,0
429,Maryland,Cecil,3
430,Maryland,Charles,0
431,Maryland,Dorchester,0
432,Maryland,Frederick,0
433,Maryland,Garrett,0
434,Maryland,Harford,3
435,Maryland,Howard,1
436,Maryland,Kent,3
437,Maryland,Montgomery,3
438,Maryland,Prince George's,3
439,Maryland,Washington,0
440,Massachusetts,Barnstable,0
441,Massachusetts,Berkshire,1
442,Massachusetts,Bristol,3
443,Massachusetts,Dukes,0
444,Massachusetts,Essex,3
445,Massachusetts,Franklin,1
446,Massachusetts,Hampden,3
447,Massachusetts,Hampshire,0
448,Massachusetts,Middlesex,0
449,Massachusetts,Norfolk,0
450,Massachusetts,Plymouth,0
451,Massachusetts,Suffolk,3
452,Massachusetts,Worcester,3
453,Michigan,Allegan,3
454,Michigan,Bay,1
455,Michigan,Benzie,0
456,Michigan,Berrien,0
457,Michigan,Cass,0
458,Michigan,Chippewa,1
459,Michigan,Clinton,0
460,Michigan,Dickinson,0
461,Michigan,Genesee,0
462,Michigan,Gratiot,2
463,Michigan,Huron,0
464,Michigan,Ingham,0
465,Michigan,Kalamazoo,1
466,Michigan,Kent,3
467,Michigan,Lenawee,1
468,Michigan,Macomb,3
469,Michigan,Manistee,0
470,Michigan,Marquette,0
471,Michigan,Mason,0
472,Michigan,Midland,2
473,Michigan,Missaukee,0
474,Michigan,Muskegon,3
475,Michigan,Oakland,0
476,Michigan,Ottawa,3
477,Michigan,Saginaw,2
478,Michigan,Schoolcraft,0
479,Michigan,St. Clair,3
480,Michigan,Tuscola,0
481,Michigan,Van Buren,2
482,Michigan,Washtenaw,0
483,Michigan,Wayne,3
484,Michigan,Wexford,0
485,Minnesota,Anoka,0
486,Minnesota,Becker,1
487,Minnesota,Beltrami,1
488,Minnesota,Carlton,0
489,Minnesota,Cass,1
490,Minnesota,Cook,1
491,Minnesota,Crow Wing,1
492,Minnesota,Dakota,1
493,Minnesota,Goodhue,0
494,Minnesota,Hennepin,1
495,Minnesota,Koochiching,0
496,Minnesota,Lake,0
497,Minnesota,Lyon,1
498,Minnesota,Mille Lacs,0
499,Minnesota,Olmsted,1
500,Minnesota,Ramsey,1
501,Minnesota,Saint Louis,1
502,Minnesota,Scott,0
503,Minnesota,Sherburne,2
504,Minnesota,Stearns,1
505,Minnesota,Washington,0
506,Minnesota,Wright,1
507,Mississippi,Adams,0
508,Mississippi,Bolivar,1
509,Mississippi,DeSoto,3
510,Mississippi,Forrest,1
511,Mississippi,Franklin,0
512,Mississippi,Hancock,0
513,Mississippi,Harrison,1
514,Mississippi,Hinds,1
515,Mississippi,Jackson,0
516,Mississippi,Lamar,0
517,Mississippi,Lauderdale,0
518,Mississippi,Lee,0
519,Mississippi,Madison,0
520,Mississippi,Sharkey,0
521,Mississippi,Warren,0
522,Mississippi,Yalobusha,0
523,Missouri,Andrew,0
524,Missouri,Boone,0
525,Missouri,Buchanan,1
526,Missouri,Callaway,0
527,Missouri,Cass,0
528,Missouri,Cedar,1
529,Missouri,Clay,3
530,Missouri,Clinton,0
531,Missouri,Greene,0
532,Missouri,Jackson,1
533,Missouri,Jasper,2
534,Missouri,Jefferson,3
535,Missouri,Lincoln,0
536,Missouri,Madison,0
537,Missouri,Monroe,0
538,Missouri,Perry,0
539,Missouri,Platte,0
540,Missouri,Saint Charles,3
541,Missouri,Saint Louis,3
542,Missouri,Sainte Genevieve,0
543,Missouri,St. Louis City,3
544,Missouri,Taney,0
545,Montana,Broadwater,2
546,Montana,Cascade,2
547,Montana,Custer,0
548,Montana,Fergus,0
549,Montana,Flathead,0
550,Montana,Gallatin,1
551,Montana,Lake,2
552,Montana,Lewis and Clark,2
553,Montana,Lincoln,1
554,Montana,Missoula,3
555,Montana,Phillips,0
556,Montana,Powder River,0
557,Montana,Ravalli,1
558,Montana,Richland,0
559,Montana,Rosebud,2
560,Montana,Sanders,2
561,Montana,Silver Bow,2
562,Montana,Yellowstone,2
563,Nebraska,Cass,2
564,Nebraska,Douglas,1
565,Nebraska,Gage,1
566,Nebraska,Hall,1
567,Nebraska,Knox,0
568,Nebraska,Lancaster,0
569,Nebraska,Sarpy,1
570,Nebraska,Scotts Bluff,1
571,Nebraska,Washington,1
572,Nevada,Carson City,0
573,Nevada,Churchill,0
574,Nevada,Clark,3
575,Nevada,Douglas,0
576,Nevada,Elko,2
577,Nevada,Lander,2
578,Nevada,Lyon,0
579,Nevada,Mineral,2
580,Nevada,Nye,2
581,Nevada,Washoe,3
582,Nevada,White Pine,0
583,New Hampshire,Belknap,0
584,New Hampshire,Cheshire,0
585,New Hampshire,Coos,0
586,New Hampshire,Grafton,0
587,New Hampshire,Hillsborough,3
588,New Hampshire,Merrimack,0
